"Job","User","Project","Host Name","Partition","QOS","Submit","Start","End","Wait Time","Elapsed Secs","CPUs","Nodes Allocated","Hours Charged","Raw Hours","Machine Hours"
"","Blaschke, Johannes","lcls","cori haswell","resv","resv","2020-09-11 14:12:40","2020-09-11 14:12:49","2020-09-11 14:16:33","9","224","2048","32","278.75555555555553","1.991111111111111","278.75555555555553"
"","Blaschke, Johannes","lcls","cori haswell","resv","resv","2020-09-11 14:15:21","2020-09-11 14:16:37","2020-09-11 14:20:28","76","231","2048","32","287.46666666666664","2.0533333333333332","287.46666666666664"
"","Blaschke, Johannes","lcls","cori haswell","resv","resv","2020-09-11 14:36:40","2020-09-11 14:36:48","2020-09-11 14:40:24","8","216","2048","32","268.8","1.92","268.8"
"","Blaschke, Johannes","lcls","cori haswell","resv","resv","2020-09-11 14:40:26","2020-09-11 14:41:04","2020-09-11 14:42:10","38","66","2048","32","82.13333333333334","0.5866666666666667","82.13333333333334"
"","Blaschke, Johannes","lcls","cori haswell","resv","resv","2020-09-11 15:08:33","2020-09-11 15:08:42","2020-09-11 15:12:07","9","205","2048","32","255.11111111111111","1.8222222222222222","255.11111111111111"
"","Blaschke, Johannes","lcls","cori haswell","resv","resv","2020-09-11 16:56:03","2020-09-11 16:56:15","2020-09-11 16:56:41","12","26","2048","32","32.355555555555554","0.2311111111111111","32.355555555555554"
"","Blaschke, Johannes","lcls","cori haswell","resv","resv","2020-09-11 17:05:35","2020-09-11 17:05:46","2020-09-11 17:06:16","11","30","2048","32","37.333333333333336","0.26666666666666666","37.333333333333336"
"","Blaschke, Johannes","lcls","cori haswell","resv","resv","2020-09-11 17:12:00","2020-09-11 17:12:07","2020-09-11 17:13:45","7","98","2048","32","121.95555555555555","0.8711111111111111","121.95555555555555"
"","Blaschke, Johannes","lcls","cori haswell","resv","resv","2020-09-11 17:18:38","2020-09-11 17:18:51","2020-09-11 17:22:19","13","208","2048","32","258.84444444444443","1.8488888888888888","258.84444444444443"
"","Blaschke, Johannes","lcls","cori haswell","resv","resv","2020-09-11 21:10:22","2020-09-11 21:10:30","2020-09-11 21:10:52","8","22","2048","32","27.377777777777776","0.19555555555555557","27.377777777777776"
"","Blaschke, Johannes","lcls","cori haswell","resv","resv","2020-09-11 21:18:49","2020-09-11 21:19:03","2020-09-11 21:30:19","14","676","2048","32","841.2444444444444","6.0088888888888885","841.2444444444444"
"","Blaschke, Johannes","lcls","cori haswell","resv","resv","2020-09-11 21:34:03","2020-09-11 21:34:16","2020-09-11 21:34:37","13","21","2048","32","26.133333333333333","0.18666666666666668","26.133333333333333"
"","Blaschke, Johannes","lcls","cori haswell","resv","resv","2020-09-11 21:39:35","2020-09-11 21:39:46","2020-09-11 21:40:58","11","72","2048","32","89.6","0.64","89.6"
"","Blaschke, Johannes","lcls","cori haswell","resv","resv","2020-09-11 21:57:45","2020-09-11 21:57:57","2020-09-11 21:59:17","12","80","2048","32","99.55555555555556","0.7111111111111111","99.55555555555556"
"","Blaschke, Johannes","lcls","cori haswell","resv","resv","2020-09-11 22:02:07","2020-09-11 22:02:16","2020-09-11 22:03:52","9","96","2048","32","119.46666666666667","0.8533333333333334","119.46666666666667"
"","Blaschke, Johannes","lcls","cori haswell","resv","resv","2020-09-11 22:13:22","2020-09-11 22:13:31","2020-09-11 22:15:45","9","134","2048","32","166.75555555555556","1.191111111111111","166.75555555555556"
"","Blaschke, Johannes","lcls","cori haswell","resv","resv","2020-09-11 22:13:24","2020-09-11 22:17:13","2020-09-11 22:19:26","229","133","2048","32","165.51111111111112","1.1822222222222223","165.51111111111112"
"","Blaschke, Johannes","lcls","cori haswell","resv","resv","2020-09-12 12:27:09","2020-09-12 12:27:27","2020-09-12 12:30:07","18","160","2048","32","199.11111111111111","1.4222222222222223","199.11111111111111"
"","Blaschke, Johannes","lcls","cori haswell","resv","resv","2020-09-12 12:27:15","2020-09-12 12:31:41","2020-09-12 12:34:27","266","166","2048","32","206.57777777777778","1.4755555555555555","206.57777777777778"
"","Blaschke, Johannes","lcls","cori haswell","resv","resv","2020-09-12 14:42:36","2020-09-12 14:42:43","2020-09-12 14:45:55","7","192","2048","32","238.93333333333334","1.7066666666666668","238.93333333333334"
"","Blaschke, Johannes","lcls","cori haswell","resv","resv","2020-09-12 14:42:37","2020-09-12 14:47:13","2020-09-12 14:53:44","276","391","2048","32","486.5777777777778","3.4755555555555557","486.5777777777778"
"","Blaschke, Johannes","lcls","cori haswell","resv","resv","2020-09-12 15:17:28","2020-09-12 15:17:37","2020-09-12 15:20:19","9","162","2048","32","201.6","1.44","201.6"
"","Blaschke, Johannes","lcls","cori haswell","resv","resv","2020-09-12 15:17:33","2020-09-12 15:20:23","2020-09-12 15:23:19","170","176","2048","32","219.0222222222222","1.5644444444444445","219.0222222222222"
"","Blaschke, Johannes","lcls","cori haswell","resv","resv","2020-09-12 17:49:01","2020-09-12 17:49:14","2020-09-12 17:51:33","13","139","2048","32","172.9777777777778","1.2355555555555555","172.9777777777778"
"","Blaschke, Johannes","lcls","cori haswell","resv","resv","2020-09-12 17:49:04","2020-09-12 17:53:01","2020-09-12 17:54:19","237","78","2048","32","97.06666666666666","0.6933333333333334","97.06666666666666"
"","Blaschke, Johannes","lcls","cori haswell","resv","resv","2020-09-12 17:49:07","2020-09-12 17:54:39","2020-09-12 17:56:48","332","129","2048","32","160.53333333333333","1.1466666666666667","160.53333333333333"
